,tcgplayer,cardkingdom,manapool,name,set,nk
98396,,,,Path to Exile,FNM Promos,pathtoexile
38144,,,,Reanimate,FNM Promos,reanimate
38153,,,,Shock,FNM Promos,shock
38163,,,,Swords to Plowshares,FNM Promos,swordstoplowshares
118778,,,,Sylvan Scrying,FNM Promos,sylvanscrying
38172,,,,Wall of Roots,FNM Promos,wallofroots
220128,,,,Chord of Calling,Launch Party & Release Event Promos,chordofcalling
39455,,,,Phyrexian Metamorph,Launch Party & Release Event Promos,phyrexianmetamorph
38425,,,,Sudden Shock,Launch Party & Release Event Promos,suddenshock
164074,,,,Noble Hierarch,Pro Tour Promos,noblehierarch
278719,71.48,69.99,66.68,"Nykthos, Shrine to Nyx",Pro Tour Promos,nykthosshrinetonyx
562024,0.72,0.49,0.3,Sleight of Hand,Pro Tour Promos,sleightofhand
114834,,,,Snapcaster Mage,Pro Tour Promos,snapcastermage
38409,,,,Chrome Mox,Grand Prix Promos,chromemox
169683,,,,Forest,Grand Prix Promos,forest
67398,,,,Lotus Cobra,Grand Prix Promos,lotuscobra
169684,,,,Island,Grand Prix Promos,island
39330,,,,Maelstrom Pulse,Grand Prix Promos,maelstrompulse
169686,,,,Plains,Grand Prix Promos,plains
155854,,,,Mutavault,Grand Prix Promos,mutavault
169685,,,,Mountain,Grand Prix Promos,mountain
169687,,,,Swamp,Grand Prix Promos,swamp
