card,tcg,ck_price,mp_price,ck_pct,mp_pct,units,origin,ck_cal,ck_cal_pct,band,mp_market,productId
Boltwave,2.52,3.49,1.04,38.4920634920635,-58.730158730158735,2451.0,live,2.9874400000000003,18.54920634920636,$2-5,1.63,591308.0
"Storm, Windrider",0.45,0.49,0.15,8.888888888888884,-66.66666666666667,2395.0,live,0.41944,-6.791111111111118,$0-1,0.25,696574.0
Ephemerate,5.41,6.49,5.12,19.963031423290204,-5.360443622920518,2175.0,live,5.55544,2.68835489833641,$5-10,5.59,191568.0
Unexpected Windfall,3.46,4.99,2.85,44.21965317919076,-17.630057803468205,1793.0,live,4.27144,23.45202312138729,$2-5,3.17,243382.0
Ripples of Undeath,5.91,9.99,5.41,69.03553299492386,-8.460236886632826,1704.0,live,8.55144,44.694416243654814,$5-10,5.97,552866.0
"Wolverine, Fierce Fighter",0.41,0.49,0.15,19.512195121951223,-63.41463414634146,2215.0,live,0.41944,2.302439024390245,$0-1,0.25,696330.0
Temple Garden,7.85,10.99,7.3,40.00000000000001,-7.006369426751591,1872.0,live,9.40744,19.84,$5-10,7.44,656713.0
"Captain America, Super-Soldier",3.83,6.99,2.65,82.50652741514361,-30.809399477806792,1915.0,live,5.98344,56.225587467362914,$2-5,3.15,668456.0
"Shang-Chi, Master of Kung Fu",9.99,17.99,10.3,80.08008008008007,3.103103103103108,1937.0,live,15.399439999999998,54.148548548548526,$5-10,10.38,697059.0
Hallowed Fountain,7.03,9.99,5.21,42.10526315789473,-25.88904694167852,1893.0,live,8.55144,21.64210526315788,$5-10,,656703.0
